"stars","Rating","text"
"1.0","Bad","s kind sad when McDonald's can't do anything right. We go here occasionally because s next our apartment s far worst McDonald's we've ever been  You go McDonald's anywhere world and you're basically going get same service. place. Every time we leave drive-through we feel like we were cheated. We literally ordered two breakfast sandwiches morning and only give us one. I'm starting think like messing us and cheating/stealing our money. owner franchise should very disappointed themselves. again problems so obvious maybe whoever owns instructing employees bad. I'll going corporate one. Enough enough"
"1.0","Bad","Under new management which seems point like HUGE bummer. EVERYTHING went up price point where just doesn't make sense go here. None seems reasonable.  cost I may well take family Disneyland.  However, even worth going here beers now. Also, seems like you going charge premium prices you should least deliver premium experience, which did  We went hot day and we were expecting air conditioning which working and our lane experiencing comical level technical difficulty I have never seen before.  I guess old business model must have been working, I can't imagine how work."
"3.0","Average","I like Gaetano's more than I thought I would. solid 3.5 stars, half stars were allowed. 

s something homey and comforting about food here. I've only ever got my food go, so I can't speak much about house dining what looks like inside because I've never picked up food myself. what I've heard, food always prepared quickly and ready time, which definite plus. 

First off, cheesesteaks HUGE. re basically 2-foot long log s 4-6 inches wide. MASSIVE. One cheesesteak could easily feed 3 people. meat finely chopped up, sliced (I know my Philly peeps have strong opinions . cheesesteak really good-- melty and oozing cheese, delicious soft bread, and perfect some added jalapeño peppers. Highly recommend! 

We also ordered pizza sausage and mushrooms which just okay. Nothing really stood out about  satisfying. little oily my liking, necessarily bad thing LOL. 

I definitely return more Gaetano's cheesesteaks future."
"5.0","Good","Step 1: Sit bar, you get hot towel and an excellent service.
Since pandemic hired lots new people, so you sit anywhere else, service bit slow, give them break people learning. Step 2: Order nagiris sashimis you won't disappointed generous cuts. Depends day week, have special rolls, check board those numbers. Being coming here 15 years, never got sick. prices reasonable. 7$ sake bombs, yes please! Besides sushi also have Japanese food, check out."
"5.0","Good","Delish elevated food and something everyone...
Gourmet tacos, sushi, burgers, salads, and fun crafted cocktails. Beautiful and chic atmosphere nice large patio. Highly recommended!"
"1.0","Bad","have an elephant named Lucy who desperately needs go sanctuary warmer climate other elephants."
"1.0","Bad","First my cashier being rude and gave attitude when I asked add simple drink onto my order.  I got two number 7s Taco Bell and  didn't check my bag because I waiting 20 minutes drive thru and just wanted get home.  Once I got home I check and I only got 1 number 7 so I paid double one item. I love how 60 packets sauce main item consume bag. Thanks lot Taco Bell."
"5.0","Good","great find. crazy hot day, and we didn't want wait anywhere we usually go do downtown. We looked up Yelp and WOW! seem like would just another F*#@ bar  has great menu! While we would have been fine sandwich burger, told us about he blue cheese sirloin potatoes au gratin and vegetables and we were very intrigued. normal bar fare. menu looked amazing and so we started our meal Risotto balls which were really great. I can't recommend place enough. Can't wait get back and try some other amazing things menu."
"5.0","Good","I recieved watch my birthday and wasn't sure where get resized. I called posh (listed Google). were prompt answering phone and provided all details service. When I arrived shop, Peter great and clearly involved jewelry business years. have great texting service let you know when your items ready. My new watch well looked after, perfect fit, and he even set time me!
All all, posh efficient, reasonably priced, and great communicating. I highly recommend and returning!"
"5.0","Good","Great place! We have been few times now and every time food has been spot and service has been excellent!  Menu small best, food authentic what say selling!."
"2.0","Bad","two stars two trainers I interacted while kirkwood location. After receiving promotional email six week program I booked consultation my orientation. Since I do live close I choose later time period offered and planned around traffic. I received confirmation email and super excited jump start my fitness new year. After arriving I informed an error automated emailing system and were longer any open spots program. best could offer two week trial period approx $200. Very disappointing experience."
"1.0","Bad","Hello,

I'm frequent customer front street cafe. However, my last 2 visits left me highly disappointed. morning I purchase vegan breakfast sandwich breakfast potatoes and what I received and my last order Buffalo cauliflower quarter half what I usually receive. I don't think neither dish worth money. 

Sent my iPhone"
"5.0","Good","Scott Young came my home my estimate.  He sweet man who very informative, experienced, and helpful.  I ended up adding high voltage plug my garage so I could use second dryer my garage and also putting light fixture small closet.  Scott able give me price estimate during visit, and also emailed me copy approve.  When time came work done, two crew members came out do job.  were both very capable and polite, and I very pleased them, turns out, one service technicians Scott's son.  I ever need any electric work, I call them again, and I am so glad were able offer service all way Spring Hill.  Thanks, guys!"
"1.0","Bad","I think I've written two reviews ever. only time I've ever ordered coffee and simply just...never got  Took so long (45 minutes+) I had leave. And happened more than once. people work here obviously incredibly stressed and overworked. s fault. I also know enough terrible ratings going through eventually cause somebody higher level add staff make some changes and hopefully help what unequivocally worst location I've ever been my life. you work place, I'm sorry."
"1.0","Bad","Today I went eat my daughter and had worst service!! We had bartender Nicole wait us and she wasn't very attentive all. I had ask server walking please refill our drinks and items we asked bartender and never received. We kept waiting her come our table and finally had waive her over our table. I did talk manager and he apologized after very awkward because bartender Nicole talking another bartender about us. I guess she also too busy complaining her friends sitting bar how work Made her work double last Sunday and she had train two people. probably worst person train someone. Super disappointed because usually we always have great service when we come here."
"1.0","Bad","Booked cab 4pm go wustl medical school airport.  Cab didn't show up until 4:25. cab dispatcher did apologize and all helpful. you have another way get airport, like train, take "
"5.0","Good","I ordered 3 pasta con broccoli party I went and fabulous!!! I have had many restaurants and best.  Side dish main dish you can never go wrong.  Also everything made scratch, even minestrone soup and potato soup.   We foodies and love quality food and restaurant  has   Merry Christmas all your talented staff !"
"5.0","Good","Tasty and healthy. Definitely nice addition area.. I'm entirely sure what I'm eating right now, s delicious (smoked lamb I think)"
"1.0","Bad","Biased and ignorant. did hit piece Sammys Mexican restaurant lowered standards journalism America."
"1.0","Bad","Hong Kong supermarket little dirty. Gotta careful what you buy especially meat department. Always check what you bought. s all I'm saying."
"1.0","Bad","Had birthday party here and absolutely horrible. were about 30 staff members standing around whole time, none them knew answer any questions were willing help you. I would recommend place."
"1.0","Bad","I ordered number two Quarter Pounder meal meat pink and uncooked all way call store talk manager. Manager wasn't professional did take my information so I can get my order replaced anything basically didn't care. Recommend checking your order before leaving store just don't visit because have bad reviews anyway"
"1.0","Bad","last three times I have ordered Nico's  I have asked guac and extra lettuce my Chimi, too hard right?  Well charge $.65 extra lettuce even though I asked guac, which also charge $.65  so me wash, I have paid extra $.65 three times and three times, I have lettuce and still have guac, which I just throw away anyway.  So time I call let them know making mistakes and what I get, an I'm sorry, we'll get right next time,  I get ""s my fault, cook did .  Well hard tell giving your order correctly because do all Spanish.  Have always felt Nico's best fast food Taco shops, have become expensive compared other shops) and customer service non-existent.  I have tried like them, make too hard."
"1.0","Bad","BEWARE OF THIS COMPANY! I ordered transmission my 2006 Chevrolet work truck August 2017. factory trans truck had 203,000 miles  After talking people and doing some research (which now I wish I hadn't) I decided order reman trans depot which basically same damn thing getting one rebuilt. order process easy and even waved core charge (since I'm spending $1400) even though took month and half get ! All said and done I paid around $2100 install and all first go round. transmission didn't last SIX months before bands went out losing 2nd and 4th March 2018. Yes, s warrantied,  what don't tell you cost $200 ship them and $200 get back (I am Georgia) Also, make difficult send back and almost seems like try scare you out sending back. even made me, transmission guy me, drop pan, take picture, and do scan, which cost me $85 right off bat after guy telling trans depot s gone. Now, after going back and forth, finally  ""accept"" warranty and I tried get them help shipping, ANYTHIG, nope. Me being 27 year old sub contracter, s hard fork out $2100 and have mess up and have do all over again. So, I pay my $85 pic and scan, $400 dollars shipping them and back, and $780 my shop taking out and putting back (also had put 12qts fluid since bone dry. second one I have now STILL shifts like total CRAP!! Even my transmission guy said he doesn't like how shifts. hesitates and jams gear up shifting and downshifts like Floyd Mayweathers right jab and just doesn't seem right, I'll give less than six months also. So, all all, six months and because company, I've now spent right $3500, $1,800 just wth trans depot. TAKE YOUR STUFF LOCAL AND GET IT REBUILT. I regret ever calling company!"
"5.0","Good","six star restaurant has smaller casual and take away? How cool  genius Cochon unleashed format amazing! Sandwiches, salads and surprises abound!"
"1.0","Bad","placed my order 0n Grub Hub so easy ordering experience. Received food missing part order called location received big attitude hung up me. Called back told tried catch driver (BS) also tons attitude. order complete go out why send rocket science order listed check. Grub Hub driver failed check order & location failed complete an easy task. Delivery Fee 6.99 & Tip 6.17. apologies just attitude. told call AM adjust check. Last least description item supposed have mustard sliders mustard. location has very limited menu and failed execute its most ordered item. Order White Castle you better served. town group Predators game looking local restaurant enrich experience big fail."
"1.0","Bad","Hadn't been here long time. boy did place go down tubes. Food terrible. Fish and chips I tried first. Fish had enough breading choke horse. Greasey too. Sea Chips enough oil and grease start your own oil company. Next tried Fisherman's Platter. Crab Cakes had enough bread filler start bakery. Very little crab. Fried Shrimp & Oysters were dry and like came out frozen box and plunked fryer. Just very dry and tasteless. Sea Chips, round cut potatoes tasted like cardboard. Just greasy & tasteless. Let's put way, I am spoiled because I go gulf coast Alabama & Louisiana alot and seafood fresh and delicious. imitation seafood enough make even dog eat  Maybe an off night kitchen crew, would take zombie apocalypse get me go back anytime soon. Save your money and go Micky D's and Golden Arches."
"1.0","Bad","ice cream yogurt  today

Boo!!

And gelato replaced yuckie aí bowl one orders 

And yes aí bowl available today also"
"5.0","Good","Highly RecommendSo professional! Very covid conscious!! friendly and good receiving!! Enjoyed my experience and I return!!! My hair cut very nice. I highly recommend go Nick 
Thank you!!!!!!"
"4.0","Good","newest Racetrac town... RIP Picadilly...
All shiny and new and pumps so fast! And so many them, befits chain. Plus gas few cents cheaper than other local spots.

I pumping gas, kids ran back an SUV next me saying had gotten FOOD! and boy did  almost made me go inside and stock up beaucoup snacks. Next time!"
"1.0","Bad","I called John and Molly's afternoon see had prime rib special ve been advertising Facebook. I told available. I drove half hour get around five dinner. waitress informed me were out prime rib. We did eat just got up and left so I cannot rate food. should learn make enough so don't run out especially going advertise special multiple times weekend. s shame because I heard place excellent. Probably return."
"3.0","Average","Used love tacos, here lately lettuce old and uneatable. need throw away old lettuce and mix fresh . Jack box Oakwood worst. Just  sayin..."
"1.0","Bad","food's alright, delivery time relatively short so complaints  fun part where decide charge your card extra reason! called back figure out why i signed receipt x amount and charged extra and told manager wasn't and would get back me have yet hear back them! while only $5, incredibly unprofessional and handled poorly"
"5.0","Good","place really nice. Entire staff very welcoming and provide THE best service. I definitely recommend place my friends."
"3.0","Average","chicken best, usually been sitting out under hot lamp s still better any fast food place. Mac and cheese something I'd go back tho definitely worth money."
"1.0","Bad","one worst places you can get take out. Ordered pork fried rice just got white rice pork. Ordered regular coke got four cans Diet Coke. forget stuff and when you call them let them know act like don't know what your talking about want you DRIVE TO THEM AND BRING IT BACK"
"4.0","Good","Tamarindos semi-hidden[1] treasure, yet another surprisingly tasty Mexican place suburbs. BYOB's unremarkable exterior does little attract customers its strip mall. fact, does so little we thought deserted until we pushed past curtains fending off winter draft!

Unlike outside, interior delicious, beautiful oil paintings lining walls. lively crowd, and nearly all tables were taken. chatter conversation and Mexican music married well, and dim lighting[2] makes Tamarindos quaint date spot.

Interestingly, few menu items had stars next description. We couldn't figure out meaning - maybe s key menu now? I think I heard stars expressed dish's heat level, I'm unsure. Dishes pricey Mexican (think fancy Mexican!) chef (chefs) makes worth splurge.

My entree, ""Camarones la Diabla"" ($21.60) consisted jumbo shrimp cooked Tamarindos's version diabla sauce, along guajillo, jalapeno, and poblano peppers, onions, and pineapple, rice. shrimp and allied vegetables weren't spicy I'd like, enough spice casual diner, an explosion flavors!

Throughout night, our server (Stephanie) point, bringing us free tasty chips, fresh salsa, our entrees, all time. Another server provided complimentary margaritas (""Mexican water,"" she smiled) which helped pass time nicely.

[1] Obviously, many reviewers have been here.
[2] Bring flashlight; reading menu might challenge otherwise!"
"3.0","Average","Been here bunch times. Went last sunday around 530. I had ribs my wife had brisket. Both were served metal plat paper under meat. good idea we both noticed paper had disolved and we wondered we were eating our dinners. Both meals came sliced white bread must have come Giant something. Formthe price we paid shouldve been dinner roll something fancier. waiter said we could use bread make taco like thing. Please I didnt know were Taco Bell disguise.  Next time use plate dinners without paper under meat which has juices make paper wet and tears and sticks meat and you eat  yuck!  We wont going back here long while."
"1.0","Bad","I'm giving one star  only! when you new customers story! Careful! After you settle them! never going help you again! Only trying get you out story than gets some new customers scan! Telling you buy Insurence than making claim very difficult ! After 4or 5 time emails tell you have pay hundreds more replace phone fixing! So new clients who needs new phones never  come here! you live Lithia thinking you can getting Satellite reception better than other companies! Telling you much!"
"1.0","Bad","My experience here testament why you should always check Yelp before trying new places!

When second leg my international flight canceled, I booked myself room Marriott Downtown and ordered dinner Tower Style Pizza.  I exhausted and needed some quick food.  Fast forward two and half hours.  My food arrives after 4 phone calls where I hung up and told were too busy check whether my order had gone out.  I already asleep and had wake up get food. 

pizza looked like one those boxed microwaveable pizzas give you Amtrak. And looks were deceiving case.  Gross.  

I hope my review, combined endless other atrocious reviews place, save least one person hassle dealing place."
"5.0","Good","I love Des Peres Nail Spa! Ken & gals always so great! do wonderful job! I always get dip nails and pedicure. I come see them every time I am town. my favorite nail salon! I highly recommend services!"
"4.0","Good","place great families. Very busy and has fairly open floor plan. I found ordering system little confusing."
"4.0","Good","Great store finding variety brands more upscale (and better fitting) than places like Payless - ve even got Josef Seibel, Ekko, Clarks, Merrills - so you suffer sore feet cheaper, unsupportive shoes, place explore.   I even found newest Sketchers and need return when I have time try LOTS possibilities  :-)   also have mens and children's, again good selection.   usually plenty sale items you're trying thriftiest bargains.   you can't find your size,ll order them up you, which always helpful, and s good return policy.  Give them try!"
"1.0","Bad","Service department forced me pay diagnosis when I already told them starter motor needed replacement. $150!!!. said battery only problem, so I went ahead and bought OVERPRICED battery based service adviser's (yeah sure) diagnosis. end following day, took all day pop battery, she called me and says 'Oh, NOW DOES need starter' like I requested first place!. I also asked have have an oil service done while  bill right $1,000, yes one thousand! dollars. And THEY DIDN'T EVEN PUT AIR IN MY TIRES, THE SENSORS CAME ON TODAY AND THEY WERE ALL WAY LOW! WTF did I pay ?!

I guess I'll drive 98 miles Roseville Kia next time. I'm so angry Dolan Reno when I buy new Kia next February, I'll sure NOT buy Dolan!!"
"3.0","Average","Coffee good folks working seem like you bothering them when you order coffee. And wait. Wait more. Could 4 5 star cared."
"5.0","Good","Amnie literally best person out   I came my first time and she made me feel so comfortable.  She extremely flexible and works around clients schedule.  I would recommend her everyone.  She also very knowledgeable.  I really enjoyed talking her.  She gave me great information how stay healthy.  Your'e great hands her!!!"
"5.0","Good","Doctor Kase and his dental assistant Saoirse made my recent visit best experience I have ever had dentist. I had 2 root canals done and made nearly painless. thoroughly explained my options, showed genuine concern, waiting around - got me  out  + office staff great, everyone friendly & professional. I could happier!  I highly recommend Dr. Kase, Saoirse and great staff Bay Arbor Dental Care."
"5.0","Good","I can't even begin express how great place  I started going here half year ago and I have literally never been disappointed. food beyond tasty and s amazing price! I think best part place how many vegetarian options  being vegetarian i've never gotten opportunity try Indonesian food. During pandemic keeping contact minimum only allowing online orders and picking up outside door which I definitely appreciate. However, when things do get better inside has very nice cultural decor and family very nice you confused what order. dishes done over rice and cost $9-11 get 2 stews and $2-4 more every add max 4. Definitely give go, place definitely disappoint!"
"5.0","Good","We attended Holiday Lights Festival Florida Botanical Gardens and joy! 

We went Saturday night which busiest night and slight negative; crowd so large made harder experience everything still gets 5 stars! signs up suggesting you can visit Sunday through Thursday avoid crowds, I would agree and next year, we try attend during week, Don't let crowds scare you off though you can handle crowd because fun experience. 

s free get do suggest $5 per adult donation. gardens free year round and money raise donations especially event helps keep free everyone. 

Parking free well and we found place easily and didn't have walk very far enter. Please note, walking event. You do decent amount walking. strenuous and plenty places stop and relax although seating limited everywhere large crowd nights holiday light events. Keep mind matters you any reason. 

park always dog friendly even during lights festival. We brought our dog. little daunting large crowd she had good time. 

Now describe gardens and lights festival. I think truly enjoy garden, you should go during day lights so awesome annual event! many, many displays and garden certainly keeps nature/animal friendly theme. I'm sure which section my favorite might wedding garden. so lovely! also main courtyard where you'll find refreshments and nightly entertainment! 
I'm including photos your viewing please photos don't really convey entire experience, so go and take  

Don't miss info center and gift store. I really enjoyed and even bought few items. I learned nice ladies running store s non-profit and all money earned store goes back gardens. How nice! 

My one criticism and suggestion garden would any way possible make info center and gift shop area dog friendly would great. My boyfriend had wait outside and watch our dog while I went center and shop. He would have enjoyed coming well. I understand concerns shop since s small area many smaller, breakable trinkets. I can't imagine any thousands strollers night moving around either seems area outside and info center could dog friendly. I do want again acknowledge how nice have all gardens dog friendly! 

Don't hesitate enjoy amazing place. We so lucky have cool, beautiful garden like our community. Thank you all volunteers who help keep garden going!"
